"Date","Price","Open","High","Low","Change %"
"May 01, 2020","0.198","0.198","0.206","0.182","-1.79%"
"Apr 30, 2020","0.201","0.196","0.203","0.176","-1.90%"
"Apr 29, 2020","0.205","0.223","0.223","0.192","-4.56%"
"Apr 28, 2020","0.215","0.227","0.229","0.197","-4.10%"
"Apr 27, 2020","0.224","0.225","0.243","0.216","0.00%"
"Apr 26, 2020","0.225","0.225","0.225","0.225","0.90%"
"Apr 24, 2020","0.222","0.231","0.233","0.210","0.63%"
"Apr 23, 2020","0.221","0.211","0.227","0.209","2.69%"
"Apr 22, 2020","0.215","0.207","0.221","0.195","6.90%"
"Apr 21, 2020","0.201","0.206","0.212","0.185","-2.09%"
"Apr 20, 2020","0.206","0.206","0.212","0.194","-2.00%"
"Apr 19, 2020","0.210","0.208","0.210","0.208","3.96%"
"Apr 17, 2020","0.202","0.229","0.239","0.192","-4.13%"
"Apr 16, 2020","0.211","0.201","0.215","0.187","4.83%"
"Apr 15, 2020","0.201","0.219","0.223","0.191","-9.10%"
"Apr 14, 2020","0.221","0.249","0.259","0.219","-11.32%"
"Apr 13, 2020","0.249","0.229","0.253","0.225","8.63%"
"Apr 12, 2020","0.229","0.227","0.229","0.227","-0.86%"
"Apr 09, 2020","0.231","0.260","0.260","0.209","-9.61%"
"Apr 08, 2020","0.256","0.266","0.288","0.240","-4.48%"
"Apr 07, 2020","0.268","0.274","0.304","0.262","0.00%"
"Apr 06, 2020","0.268","0.239","0.270","0.237","13.26%"
"Apr 05, 2020","0.237","0.235","0.237","0.235","4.36%"
"Apr 03, 2020","0.227","0.231","0.245","0.205","-0.26%"
"Apr 02, 2020","0.228","0.202","0.235","0.202","-6.53%"
"Apr 01, 2020","0.243","0.242","0.255","0.210","-3.95%"
