"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2020","27.58","27.20","29.53","27.09","47.47K","1.85%"
"Oct 14, 2020","27.08","26.90","27.68","26.30","46.71K","1.12%"
"Oct 13, 2020","26.77","26.15","27.71","26.15","38.44K","1.71%"
"Oct 12, 2020","26.33","26.85","27.25","26.15","35.69K","-2.05%"
"Oct 09, 2020","26.88","28.05","28.05","26.61","41.53K","-4.44%"
"Oct 08, 2020","28.13","30.00","30.15","27.95","35.33K","-6.33%"
"Oct 07, 2020","30.02","31.55","31.62","29.68","32.54K","-3.84%"
"Oct 06, 2020","31.23","30.85","31.70","29.80","48.14K","1.30%"
"Oct 05, 2020","30.83","31.65","32.04","30.60","30.48K","-3.90%"
"Oct 02, 2020","32.08","30.60","34.30","30.53","55.15K","4.56%"
"Oct 01, 2020","30.67","30.40","31.00","29.58","43.15K","0.99%"
"Sep 30, 2020","30.38","30.00","31.10","29.45","42.21K","2.02%"
"Sep 29, 2020","29.77","30.95","31.35","29.70","41.96K","-3.41%"
"Sep 28, 2020","30.83","31.16","31.40","30.70","28.46K","-1.28%"
"Sep 25, 2020","31.23","32.25","32.66","31.00","38.62K","-3.10%"
"Sep 24, 2020","32.22","32.55","33.28","31.63","54.15K","-0.77%"
"Sep 23, 2020","32.47","31.35","33.06","30.74","53.58K","3.51%"
"Sep 22, 2020","31.38","31.25","32.15","30.90","43.85K","0.48%"
"Sep 21, 2020","31.23","30.02","32.98","29.82","-","3.82%"
"Sep 18, 2020","30.08","29.95","30.85","29.18","59.29K","0.84%"
"Sep 17, 2020","29.83","30.40","32.01","29.75","63.71K","14.18%"
"Sep 16, 2020","26.12","25.50","25.80","25.10","0.74K","2.94%"
"Sep 15, 2020","25.38","25.80","26.15","24.88","29.48K","-1.36%"
"Sep 14, 2020","25.73","26.32","26.35","24.95","45.01K","-2.28%"
"Sep 11, 2020","26.33","28.75","29.10","26.25","66.11K","-8.51%"
"Sep 10, 2020","28.77","28.50","29.62","27.55","74.87K","1.41%"
"Sep 09, 2020","28.38","30.98","31.13","27.92","-","-6.12%"
"Sep 08, 2020","30.23","29.95","34.10","29.10","107.96K","2.39%"
"Sep 07, 2020","29.52","30.38","30.98","29.42","-","-2.89%"
"Sep 06, 2020","30.40","29.93","31.05","29.85","-","2.53%"
"Sep 04, 2020","29.65","34.55","37.35","29.05","145.36K","-12.47%"
"Sep 03, 2020","33.88","28.95","35.50","27.83","154.39K","17.32%"
"Sep 02, 2020","28.88","28.40","29.10","27.84","74.48K","1.94%"
"Sep 01, 2020","28.33","28.05","28.78","27.25","60.53K","1.61%"
"Aug 31, 2020","27.88","26.90","28.30","26.40","71.33K","3.43%"
"Aug 28, 2020","26.95","27.05","28.65","26.25","81.17K","-0.28%"
"Aug 27, 2020","27.02","26.20","29.40","25.51","114.77K","3.64%"
"Aug 26, 2020","26.08","25.50","26.38","24.70","48.77K","2.36%"
"Aug 25, 2020","25.48","25.90","26.71","25.35","49.64K","-1.36%"
"Aug 24, 2020","25.83","25.78","26.15","25.05","44.37K","-0.39%"
"Aug 21, 2020","25.92","25.90","26.95","25.60","46.61K","0.19%"
"Aug 20, 2020","25.88","26.35","27.41","25.75","56.47K","19.18%"
"Aug 19, 2020","21.71","21.95","21.95","21.60","0.73K","-0.30%"
"Aug 18, 2020","21.77","21.81","22.56","21.40","40.85K","0.00%"
"Aug 17, 2020","21.77","23.15","23.20","21.77","36.27K","-6.44%"
"Aug 14, 2020","23.27","23.20","24.30","22.95","39.20K","0.22%"
"Aug 13, 2020","23.23","23.60","23.65","22.60","45.07K","-0.21%"
"Aug 12, 2020","23.27","24.64","25.03","23.03","49.60K","-6.62%"
"Aug 11, 2020","24.92","23.81","25.40","22.65","68.35K","4.84%"
"Aug 10, 2020","23.77","24.60","24.80","23.55","43.36K","-3.45%"
"Aug 07, 2020","24.63","24.81","25.66","24.30","49.14K","-1.01%"
"Aug 06, 2020","24.88","25.25","25.85","24.80","33.23K","-1.78%"
"Aug 05, 2020","25.33","25.85","26.10","25.25","37.89K","-2.13%"
"Aug 04, 2020","25.88","26.85","26.90","25.80","37.41K","-3.36%"
"Aug 03, 2020","26.77","26.95","27.30","26.44","43.96K","-0.19%"
"Jul 31, 2020","26.83","26.70","28.26","26.55","60.02K","-1.29%"
"Jul 30, 2020","27.17","26.90","29.71","26.66","74.48K","1.49%"
"Jul 29, 2020","26.77","27.50","27.90","26.60","37.66K","-2.72%"
"Jul 28, 2020","27.52","27.50","28.06","26.57","52.21K","0.00%"
"Jul 27, 2020","27.52","28.80","29.00","27.47","39.74K","-4.18%"
"Jul 24, 2020","28.73","28.55","29.90","28.25","56.89K","-0.17%"
"Jul 23, 2020","28.77","27.39","29.11","26.79","61.85K","13.06%"
"Jul 22, 2020","25.45","24.85","25.90","24.35","0.72K","2.72%"
"Jul 21, 2020","24.77","24.70","25.58","23.83","41.66K","0.20%"
"Jul 20, 2020","24.73","26.50","27.10","24.45","40.32K","-6.43%"
"Jul 17, 2020","26.42","28.15","28.20","26.10","40.76K","-6.04%"
"Jul 16, 2020","28.13","28.34","29.70","27.50","43.79K","-0.71%"
"Jul 15, 2020","28.33","29.45","29.91","28.27","52.12K","-4.39%"
"Jul 14, 2020","29.63","32.10","32.81","29.58","71.51K","-6.91%"
"Jul 13, 2020","31.83","28.67","32.45","28.20","78.09K","10.60%"
"Jul 10, 2020","28.77","30.20","31.15","28.70","45.44K","-4.80%"
"Jul 09, 2020","30.23","29.45","31.65","29.19","62.97K","2.37%"
"Jul 08, 2020","29.52","30.60","31.13","29.40","47.92K","-3.43%"
"Jul 07, 2020","30.58","29.30","30.70","28.67","46.32K","4.53%"
"Jul 06, 2020","29.25","29.19","30.00","28.13","51.73K","-2.04%"
"Jul 03, 2020","29.86","29.28","29.93","28.88","-","2.70%"
"Jul 02, 2020","29.08","29.80","30.30","27.92","64.43K","-2.51%"
"Jul 01, 2020","29.83","30.80","31.90","29.50","60.01K","-3.40%"
"Jun 30, 2020","30.88","32.51","33.16","30.43","71.81K","-4.49%"
"Jun 29, 2020","32.33","34.95","35.25","32.10","60.08K","-6.37%"
"Jun 26, 2020","34.53","32.35","34.85","31.85","76.64K","7.30%"
"Jun 25, 2020","32.17","33.60","35.45","31.97","69.26K","-4.17%"
"Jun 24, 2020","33.58","31.85","35.25","31.45","111.40K","5.17%"
"Jun 23, 2020","31.92","31.75","34.35","30.31","62.14K","0.95%"
"Jun 22, 2020","31.63","36.05","36.60","31.60","74.62K","-10.35%"
"Jun 19, 2020","35.28","33.48","35.35","32.12","70.57K","5.06%"
"Jun 18, 2020","33.58","33.60","35.35","33.20","60.89K","0.40%"
"Jun 17, 2020","33.44","33.70","34.25","32.30","0.51K","1.03%"
"Jun 16, 2020","33.10","33.80","36.65","31.55","46.06K","-2.36%"
"Jun 15, 2020","33.90","37.25","41.85","33.85","64.53K","-3.35%"
"Jun 12, 2020","35.08","39.65","42.55","34.95","151.18K","-13.66%"
"Jun 11, 2020","40.63","27.45","40.90","27.40","157.66K","47.86%"
"Jun 10, 2020","27.48","27.60","28.35","25.93","59.25K","-0.54%"
"Jun 09, 2020","27.63","26.05","27.80","25.96","51.08K","6.15%"
"Jun 08, 2020","26.02","25.35","26.25","24.95","32.58K","2.76%"
"Jun 05, 2020","25.33","26.70","26.90","24.80","50.00K","-5.24%"
"Jun 04, 2020","26.73","27.10","27.70","25.80","52.44K","-1.02%"
"Jun 03, 2020","27.00","28.15","28.30","26.71","55.05K","-4.34%"
"Jun 02, 2020","28.23","29.55","29.96","28.05","47.03K","-4.40%"
"Jun 01, 2020","29.52","29.55","30.45","28.98","40.80K","2.43%"
"May 29, 2020","28.83","30.35","31.20","28.80","62.60K","-4.95%"
"May 28, 2020","30.33","29.15","30.80","28.75","51.84K","4.30%"
"May 27, 2020","29.08","29.70","31.35","28.61","57.32K","-1.86%"
"May 26, 2020","29.63","30.50","30.65","28.70","53.30K","-0.15%"
"May 25, 2020","29.67","29.90","30.62","29.48","-","-0.84%"
"May 24, 2020","29.92","30.45","30.45","29.88","-","-1.50%"
"May 22, 2020","30.38","30.80","32.55","30.14","43.13K","-2.10%"
"May 21, 2020","31.02","29.60","31.30","29.45","49.24K","10.37%"
"May 20, 2020","28.11","31.67","31.75","29.42","-","-8.59%"
"May 19, 2020","30.75","30.12","32.38","29.52","-","6.31%"
"May 18, 2020","28.92","31.90","32.25","28.40","31.75K","-9.96%"
"May 15, 2020","32.13","32.75","35.10","31.45","54.23K","-0.77%"
"May 14, 2020","32.38","34.45","38.35","32.29","70.20K","-7.70%"
"May 13, 2020","35.08","33.20","36.95","30.43","88.73K","6.05%"
"May 12, 2020","33.08","28.23","34.03","26.52","-","18.87%"
"May 11, 2020","27.83","30.00","31.65","27.50","43.35K","-5.12%"
"May 08, 2020","29.33","32.13","32.30","29.30","39.79K","-8.72%"
"May 07, 2020","32.13","34.80","35.05","32.05","41.87K","-7.62%"
"May 06, 2020","34.78","34.20","35.10","32.96","39.23K","2.20%"
"May 05, 2020","34.03","35.60","36.08","32.88","-","-4.63%"
"May 04, 2020","35.67","38.00","39.85","35.55","40.13K","-4.48%"
"May 01, 2020","37.35","34.90","37.80","34.78","44.16K","9.93%"
"Apr 30, 2020","33.97","31.60","34.85","31.45","40.73K","6.42%"
"Apr 29, 2020","31.92","34.10","34.27","31.45","47.16K","-6.58%"
"Apr 28, 2020","34.17","34.00","35.07","32.55","36.43K","0.89%"
"Apr 27, 2020","33.88","36.55","37.15","33.45","47.55K","-7.89%"
"Apr 24, 2020","36.78","39.80","40.55","36.65","42.62K","-7.43%"
"Apr 23, 2020","39.72","39.50","40.30","38.05","42.38K","0.25%"
"Apr 22, 2020","39.63","41.40","42.40","39.10","35.34K","-5.15%"
"Apr 21, 2020","41.78","38.41","43.33","37.40","-","6.91%"
"Apr 20, 2020","39.08","34.90","39.20","34.84","39.53K","13.02%"
"Apr 17, 2020","34.58","35.10","36.20","34.05","41.48K","-5.34%"
"Apr 16, 2020","36.53","36.60","38.00","35.60","38.07K","-14.08%"
"Apr 15, 2020","42.51","38.30","42.45","38.00","0.94K","12.24%"
"Apr 14, 2020","37.88","40.80","41.15","37.10","25.25K","-6.65%"
"Apr 13, 2020","40.58","41.05","43.65","40.55","18.18K","-1.70%"
"Apr 09, 2020","41.28","42.60","43.85","41.10","39.59K","-2.60%"
"Apr 08, 2020","42.38","44.05","44.80","41.49","30.29K","-3.75%"
"Apr 07, 2020","44.03","42.15","44.37","40.20","47.73K","5.39%"
"Apr 06, 2020","41.78","45.00","45.00","40.30","38.98K","-7.01%"
"Apr 03, 2020","44.92","47.55","49.05","44.15","48.25K","-4.77%"
"Apr 02, 2020","47.17","50.50","51.05","47.05","42.11K","-8.09%"
"Apr 01, 2020","51.33","48.85","51.75","47.45","46.46K","9.73%"
